Company,Company Aliases,Website,Company Structure,Date of Legal Structure,Primary Company Contact,Secondary Company Contact,Key Faculty Founder,Key Faculty Founder 2,Billing Address Line 1,Billing City,Billing State/Province,Billing Zip/Postal Code,County if NC,Company email,Phone,Description,Comments (Public),Comments (Private),Company Exit,Company Exit Date,Company Exit 2,Company Exit 2 Date
Pink STREAM,Pink STREAM Initiative,www.pinkstream.org,501c,12/6/2021,Merve Rida Bayraktar,,,,501 Millsfield Drive,Cary,North Carolina,27519,Wake,pinkstreamorg@gmail.com,9195931597,"Pink STREAM strives to educate, motivate, empower, and inspire K-8 women in STREAM (Science, Technology, Robotics, Engineering, Arts, Math).","incorporation status active (Patrick, 6/28/2022)","Website is still active, NC SoS status ""Current - active,"" latest Form 990 2022, address is correct. (Mackenzie, 6/15/23) ""Current- Active"" on NC SoS website, EIN: 88-1327477, form 990-N filed 2023, website active (John 5/19/24).",,,,
Plantnrgy,"Breakfast Friends, L.L.C.",PLANTNRGY.COM,LLC - Limited Liability,8/19/2019,SUMITA KUMAR,,,,2625 Winding Branch Trail,Apex,North Carolina,27523,Wake,sumita@plantnrgy.com,9196000017,"Plant-based protein & superfood mixes that help develops a strong immune system, healthy muscles, and boosts everyday energy.","LLC active, 2022 annual report filed (Patrick, 6/28/2022)","AR 5/8/20- JL. Website is still active, NC SoS status ""Current - active,"" latest annual report 5/4/2023. Address and contact information are correct. (Mackenzie, 6/15/23) NC Secretary of State website status is ""Current-Active"", website not active, 5-19-24; latest AR filed 5-4-2023 - John.",,,,
Plasma Games Inc,"Athena's Compass, Plasma Games LLC",https://play.plasma.games/,C Corporation,12/10/2013,Hunter Moore,,,,112 Wind Chime Ct,Raleigh,North Carolina,27615,Wake,support@plasma.games,(919) 532-9883,,"registration active, 2022 annual report filed (Patrick, 6/28/2022)","LLC converted to Inc in 12/31/18. JL 7/12/19 Annual report 12/27/19. (JL 6/29/20). AR 2/22/21- JL. Website is still active, NC SoS status ""Current - active,"" latest annual report 4/1/2022, annual report due. Address and phone number are correct. (Mackenzie, 6/15/23) NC Secretary of State website status is ""Current-Active"", website active, 5-19-24; latest AR filed 2-28-2024 - John. Phone updated.",,,,
Plex Diagnostics Inc,,http://app.imcreator.com/static/0EC4767C47694E0DBED3183286778039/home.html,C Corporation,3/21/2013,Monica Schmidt,,Monica Schmidt,,405 Cadbury Court,Graham,North Carolina,27523,Alamance,,,"""PleX Diagnostics is a clinical diagnostic development firm focused on cost-effective, multiplexed oncology diagnostics. The company's patent-pending technology combines serum biomarkers and a proprietary algorithm to predict presence of hepatocellular carcinoma. PleX Diagnostics' technology is applicable across multiple types of cancer and will be a useful tool for clinicians in predicting early carcinogenesis."" (website 4/17/2017)","NC Inc dissolved 3/11/2016, likely inactive (Patrick, 6/28/2022), incorporated DE Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","Website is still active, NC SoS status as ""in process."" (Mackenzie, 6/15/23) No company info found, ""in process"" status on NC soS, website not active (John 5/19/24).","Liquidation, close down",3/11/2016,,
Point,Isaiah;Isaiah Miner,isaiahminer.com,LLC - Limited Liability,10/16/2017,Xiang Li,,,,"306 W Franklin Street, Suite F",Chapel Hill,North Carolina,27516,Orange,,,"Currently there is no simple solution for non-technical people to get into mining easily. We build energy efficient hardware combined with easy to use software that provides mining, safekeeping and transacting with cryptocurrencies. It is going to be an all-in-one solution for anyone looking to get into using crypto.","unable to verify legal incorporation, not found in NC or DE, date of incorporation and ownership structure from Launch application (Cindy, 6/25/2018)","Website no longer active. Cannot find other source or any info for this company. Jen Lai 6/23/19. Website inactive second year, no other info can be found. Likely defunct. JL 6/29/20.","Liquidation, close down",1/1/2020,,
Polyglot Systems Inc,"FDB, First Databank",http://www.pgsi.com/,C Corporation,8/20/2010,Charles Lee,,Charles Lee,,2000 Aerial Center Parkway,Morrisville,North Carolina,27560,Wake,info@pgsi.com,(919) 653-4380,"""Polyglot's award-winning software is designed to improve patient understanding, thereby improving health, reducing costs and increasing patient satisfaction. Polyglot?s products have been licensed to hospitals, health systems, clinics, pharmacies and public health departments across the country."" (website 3/21/2017)","incorporated DE, NC; changed 5/10/2017 to entity type foreign corporation (M&A) appears to be continuing as its own entity (Cindy, 5/11/2017)",All independent Polyglot Systems pages removed. Appears to be fully absorbed by FDB now. Jen Lai 6/23/19.,Acquisition,3/16/2017,,
Polymer Braille,,http://www.polymerbraille.com/,C Corporation,6/17/2009,Nicole Schwerbrock,,,,1800 North Greene Street; STE E,Greenville,North Carolina,27834,Pitt,contact@polymerbraille.com,,"""After years of research and development, PBI is now closer than ever to manufacturing their first commercial Braille display products.""","NC Secretary of State website status is ""Current-Active;"" NC Annual Report Filed on 3/29/23; Active website - Jenny (1/3/2024) NC Secretary of State website status is ""Current-Active"", website active, 5-19-24; latest AR filed 3-29-2023 - John. Address updated.",,,,,
Polyon Pharmaceutical,,,,11/1/2021,Samuel Lai,,Samuel Lai,,"4213 Marsico Hall, 125 Mason Farm Road",Chapel Hill,North Carolina,27599,Orange,lai@unc.edu,(919) 966-3024,"Using PEG to prevent PEG induced anaphylaxis PROBLEM: PEGylated drugs are a mainstay in medicine, and PEG allergy greatly increases treatment costs. In some cases, the PEGylated drug represents the last-line of treatment, such as PEG-uricase for treatment of chronic tophaceous refractory gout. In other cases (e.g. pegaspargase (PEG-ASNase; for treatment of acute lymboblastic leukemia), the PEG-drug represents part of the most effective treatment regimen. For many PEGylated drugs, there are no viable alternative treatments. Unfortunately, with a number of PEGylated drugs, anti-PEG antibodies (APA) can be readily induced in humans that leads to loss of efficacy and increased risk of infusion reactions (IR), including anaphylaxis. For instance, APA is directly responsible for loss of efficacy in ~50% of patients treated with Krystexxa (PEG-uricase), with IR observed in ~60% of APA+ patients. Similarly, APA is directly responsible for loss of efficacy in ~40% of the patients treated with Oncospar (PEG-asparaginase). In other cases, such as Palynziq (PEGvaliase; for treatment of phenylketonuria), APA is induced in 100% of patients, and is directly responsible for a black box warning for anaphylaxis. SOLUTION: The underlying technology is the use of high molecular weight free PEG (MW >20 kDa), to be given either before or used in conjunction with PEGylated drugs that are at risk of inducing APA, or PEGylated drugs given to patients with already established high titers of APA. We have shown that this can effectively reduce APA, restore prolonged circulation of PEGylated drugs despite repeated dosing, and reduce allergic reactions to PEGylated drugs.","No website, date of legal incorporation is approximate via Judy Prasad (Tiffany, 7-17-23). Incorporated DE file no. 6410507, no further info found (John 5/19/24).",,,,,
Population Services International,,http://www.psi.org/,501c,1/22/1970,Phillip Harvey,,,,1120 19th Street NW,Washington,District of Columbia,20036,,info@psi.org,(202) 785-0072,"""Population Services International (PSI) is a global nonprofit organization focused on the encouragement of healthy behavior and affordability of health products. PSI was founded in 1970 to improve reproductive health using commercial marketing strategies and has expanded to work in over 50 countries in the areas of malaria, family planning, HIV, diarrhea, pneumonia and sanitation. PSI is headquartered in Washington, DC. ""A hallmark of PSI is a commitment to the principle that health services and products are most effective when they are accompanied by robust communications and distribution efforts that help ensure wide acceptance and proper use. ""PSI works in partnership with local governments, ministries of health and local organizations to create health solutions that are built to last."" (website, 1/2/2017)","PSI?s tax ID number is 56-0942853 Philip Harvey, a former CPC graduate research assistant, and Dr. Timothy Black began PSI in 1970 with the goal of improving health around the world for poor and at-risk populations in less developed countries. PSI's core values are stated as ""bottom line health impact, private sector speed and efficiency, decentralization, innovation and entrepreneurship, and a long-term commitment to the people [they] serve,"" and reflect their goal to combine the strengths of the private sector with the ideals of a nonprofit. In the beginning, the organization worked primarily in the family planning sector, using commercial marketing strategies to sell products at subsidized prices. PSI has since branched out and now works to promote health programs dealing with HIV/AIDS, safe water, malaria, and nutrition. In 2006, PSI's headquarters are in Washington and London, and its projects employ over 7,000 people in 60 countries.","510c active in DC (Patrick, 6/28/2022) Website is still active, NC SoS status as ""Current - active,"" latest Form 990 2019. (Mackenzie, 6/15/23) NC SoS status ""Current- Active"", EIN: 56-0942853, form 990 filed 2021, website active (John 5/19/24).",,,,
Porter Scientific Inc,,www.porterscientific.com,C Corporation,2/10/1999,Freda Porter,Jeffery Jacobs,,,719 Old Main Rd.,Pembroke,North Carolina,28372,Robeson,jjacobs@porterscientific.com,(910) 521-0549,"""Porter Scientific Inc., a North Carolina based American Indian woman-owned HUBZone small business with a distinguished track record of providing environmental consulting, industrial water and wastewater treatment services. PSCI Engineers, PLLC, an in-house engineering firm and subsidiary of Porter Scientific Inc., provides Engineering and Construction Management services to a variety of clients including the Department of Defense, national commercial entities and local governments and municipalities. Jointly the companies have a demonstrated capability to provide turnkey programs."" (website, Feb 2024)","NC Secretary of State website status is ""Current-Active;"" NC Annual Report Filed on 10/18/22; Active website - Jenny (1/3/2024) NC SoS status ""Active- Not Current"", AR filed 10/18/22, website active (John 5/19/24).",,,,,
PowerZone Trading,,http://www.powerzonetrading.com/,LLC - Limited Liability,1/9/2009,Jean Folger,,,,250 High Valley Road,Bryson City,North Carolina,28713,Swain,,(828) 488-5604,"""Since 2004, powerzone trading has helped active traders & investors up their game. ""We are an award-winning TradeStation EasyLanguage Specialist. Our clients include individual investors and institutional trading firms from around the world."" (website Feb 2024)","NC Secretary of State website status is ""Current-Active;"" NC Annual Report Filed on 4/1/23; Active website - Jenny (1/3/2024) NC SoS status ""Current- Active"", AR filed 4/1/23, website active (John 5/19/24).",,,,,
Predictive LLC,,https://www.predictive-llc.com/,LLC - Limited Liability,5/16/2019,Alex Tropsha,,Alex Tropsha,,2806 Treasures Lane,Raleigh,North Carolina,27614,Wake,kcausey@predictive-llc.com,919-413-0995,AI platform for drug discovery,"added website, LLC active, 2022 annual report filed (Patrick, 6/28/2022) UNC license effective date 2/2/2024 per Carmen/OTC, 7/22/2024","AR 9/18/20 - JL. Website is still active, NC SoS status ""Current - active,"" latest annual report 1/25/2023. Address and contact information are correct. (Mackenzie, 6/15/23) NC SoS status ""Current- Active"", AR filed 1/25/23, website active (John 5/19/24).",,,,
Pregistry LLC,,https://www.corevitas.com/,LLC - Limited Liability,1/7/2014,Kristine Shields,,,,"1801 Century Park East, 25th Floor",Los Angeles,California,90067,,hello@pregistry.com,(323) 744-6613,"""Pregistry provides pregnant and nursing mothers and their health care providers with the information they need to safely treat their medical conditions and ensure the best health outcomes for mothers and their babies."" (website, 11/14/2016)","registration active and in good standing (Patrick, 6/28/2022), incorporated DE, CA","Website is still active, CA SoS status as active. Address is correct. (Mackenzie, 6/15/23)",Acquisition,11/21/2022,,
Premirr Plastics LLC,,http://premirr.com/,LLC - Limited Liability,7/20/2015,Matthew C Parrott,,Matthew C Parrott,,PO Box 9986,Chapel Hill,North Carolina,27515,Orange,,(919) 604-0207,"Premirr Plastics has developed a catalyst system for recycling PET plastic, commonly found in water bottles and other commercial products, in an eco-friendly manner.","Dept of Radiology. Recycling/sustainability technology. Incorporated DE registration active, 2022 annual report filed (Patrick, 6/28/2022)","NC Annual report filed 3/21/19. JL 6/23/19. Annual report 3/2/20 (JL 7/3/20). Website is still active, NC SoS status ""Current - active,"" latest annual report 1/18/2023. Address is correct. (Mackenzie, 6/15/23) Website url redirects to Syre.com, company changed to corporation from LLC, ""Current- Active"" in NC, AR filed 2/12/24 (John 5/19/24).",Acquisition,5/23/2024,,
Premitec Inc,,http://www.premitec.com/,C Corporation,7/14/1999,Hubert T Nagle Jr,Stefan Ufer,,,1009 Capability Dr,Raleigh,North Carolina,27606,Wake,info@premitec.com,(919) 829-5659,"Premitec is a biomedical research and development company that focuses on development of flexible neural interfaces, implantable biosensors, and packaging solutions for these devices.","incorporated DE, NC; annual report NC 9/15/2016 with NCSU & Duke Need more info - Stefan Ufer, UNC Chemistry: http://www.unc.edu/news/archives/nov98/acid.htm","Website no longer active. Only registered in DE. JL 6/23/19. Website not active second year. Not active in NC since 12/2017, but also registered in DE. JL 7/3/20. No company news or data, website inactive third year, will mark ""inactive"" in database- JL 8/3/21.","Liquidation, close down",12/20/2017,,
PrimeNeuro Inc,,https://primeneuro.com/,C Corporation,3/6/2018,Sam C Tetlow,Brad Bower,Joseph Piven,Martin Styner,2 Davis Dr,Durham,North Carolina,27703-0003,Durham,forthekids@primeneuro.com,(919) 923-3716,"""PrimeNeuro aims to commercialize software that will enable prediction of autism spectrum disorder (ASD) in babies as young as 6 months of age."" (NC Biotechnology Center directory, 12/27/2018)","from Michael Kline on 10/6/2021: PrimeNeuro is the startup. We debated adding it and Jackie, Peter and I just agreed to add it. Legally, there are no UNC founders, and the reason is that the PIs including Joseph Piven and Martin Styner did not want to compromise their ability to continue their research due to potential COI. registration active, 2022 annual report filed (Patrick, 6/28/2022)","NC Annual report 4/8/19. JL 6/23/19. NC annual report 4/8/20. JL (7/3/20). AR 3/25/21 - JL. Website is still active, NC SoS status as ""Current - active,"" latest annual report 3/14/2023. Address is correct, phone number is updated. (Mackenzie, 6/15/23) NC SoS status ""Current- Active"", AR filed 3/6/24, website active (John 5/19/24).",,,,
Printaholic,"The Printholic, The Printaholic LLC",http://theprintaholic.com/,Sole Proprietorship,9/1/2020,Prasiddhi Jain,,,,109 Deer Isle Ct,Cary,North Carolina,27519,Wake,,,Print and sticker business,"Registered in NC- JL. website inactive, NC LLC dissolved effective 1/3/2022 (Patrick, 6/28/2022). Website is inactive, NC SoS status ""dissolved"" on 12/21/2021. (Mackenzie, 6/15/23)",,"Liquidation, close down",12/21/2021,,
Prodigious L.L.C.,,http://www.iprodigious.com/,LLC - Limited Liability,3/9/2017,Nicholas Haigh,,,,"700 Market St., UNIT 210",Chapel Hill,North Carolina,27516,Orange,nch2092@live.unc.edu,(508) 298-8731,"My company offers an opportunity to EVERY student to create their own scholarship opportunities. My company provides an alternative funding method that will be available to any student willing to invest in their own success. This is a new idea that does not limit awards to particular students. Anyone registered in a full-time higher education will be able to invest in their own grades. After I project an individual's G.P.A. the individual can then move forward and invest in that projected G.P.A., if the individual surpasses that projection at the end of the semester they win the amount of money that was invested (think of this in the same way you think of a wager). If the individual does not surpass the projected G.P.A., the individual loses the investment (akin to a lost bet).",,"Never added to Startups DB, closed in 2020, (Tiffany, 8/14/23).","Liquidation, close down",2/4/2020,,
Producktiv LLC,,http://www.producktiv.com/,LLC - Limited Liability,5/25/2018,Michael Fisher,Raul Davalos,,,8480 Honeycutt Road Ste 200 #V295,Raleigh,North Carolina,27615,Wake,info@producktiv.com,(888) 462-3453,Producktiv empowers knowledge workers to enhance productivity so they can crush it at work while making more time for what matters most,"Mike Fisher is a postdoc researcher at Water Institute at time of startup founding website unavailable, LLC active but no annual reports filed in '21 and '22 (Patrick, 6/28/2022)","NC annual report filed 4/16/19. JL 6/23/19. NC Annual report 4/28/20. (JL 7/3/20) Website is inactive, NC SoS status ""Current - active.""Annual report due. (Mackenzie, 6/15/23) NC SoS status ""Admin- Dissolved"", destruction filed 4/27/23, website not active (John 5/19/24).","Liquidation, close down",4/27/2023,,
Pro Financial Fitness,,profinancialfitness.com,LLC - Limited Liability,8/27/2020,Mark Prokop,,,,105 Saint Ayers Way,Chapel Hill,North Carolina,27517,Orange,mark@profinancialfitness.com,919-794-5332,"Pro Financial Fitness is a for-profit LLC business based out of Chapel Hill, NC (i.e. based out of my house) It was set up to provide the following services: Bookkeeping, Accounting, Payroll, Consulting, Training, and Board of Director retreats for NC non-profits.","NC Secretary of State website status is ""Current-Active;"" NC Annual Report Filed on 1/5/23; Active website - Jenny (12/29/2023) NC SoS status ""Current- Active"", AR filed 1/2/24, website active (John 5/19/24). Phone added.",,,,,
Profolio LLC,,http://profol.io/,LLC - Limited Liability,5/5/2014,Zach Krasner,,,,173 1/2 E Franklin,Chapel Hill,North Carolina,27514,Orange,,(704) 654-0417,ProFolio offers customizable templates for artists to create online portfolios as well as a network community of other creatives.,incorporated NC; ADM Dissolution 2/3/2017 - no annual reports since 4/5/2015,,"Liquidation, close down",2/3/2017,,
Progressive Computer Systems Inc,,http://pc-net.biz/,C Corporation,8/18/1987,Lisa Mitchell,,,,615 Eastowne Dr,Chapel Hill,North Carolina,27514,Orange,pcssales@pc-net.com,(919) 929-3080,"Progressive Computer Systems provides IT services to small, medium, and enterprise-level organizations across North Carolina.","incorporated NC, annual report NC 4/12/2016 Mailing Address: 615 Eastowne Drive Chapel Hill, NC 27514 LLC active, 2022 annual report filed (Patrick, 6/28/2022). Website is active, NC SoS status ""Admin. Dissolved"" filed on 2/17/23. (Tiffany, 7/3/23) NC SoS status ""Current- Active"" (filed as NetGain Technologies), AR filed 2/27/24, website active/email updated (John 5/19/24).","Annual report on 7/10/19. Jen Lai 7/14/19. Annual report 4/15/20. (JL 7/3/20). AR 4/14/21- JL. Registered in NC and DE. Renamed NetGain Technologies, LLC - AR 4/13/21- JL.",Acquisition,12/24/2019,,
Pro Help Legal,,https://www.prohelplegal.com/,LLC - Limited Liability,12/30/2019,Joshua Cordova,James Dorman,,,PO BOX 9048,Boise,Idaho,83707,,support@prohelplegal.com,,Pro Help Legal aims to close the gap in lawyer accessibility by providing people worldwide access to U.S. attorneys instantly through our 256-bit encrypted live video-conferencing application.,"LLC active in ID (Patrick, 6/23/2022)","Website is active, ID SoS status active, address is correct. (Mackenzie, 6/15/23) ""Active-Existing"" on ID website, website active (John 5/19/24).",,,,
Project Lazarus,Coastland Ministries,http://www.projectlazarus.org/,501c,10/26/2007,Fred Wells Brason II,Nabarun Dasgupta,,,PO Box 261,Moravian Falls,North Carolina,28654,Wilkes,info@projectlazarus.org,(336) 667-8100,"""Project Lazarus is a public health oriented non-profit organization established in 2008 in response to extremely high drug overdose death rates in Wilkes County, North Carolina (five times higher than the state average at that time). In 2007, Wilkes County had the third highest drug overdose death rate in the nation, according to the Centers for Disease Control and Prevention (CDC)."" (Project Lazarus website, 11/10/2016)","website still active as of May 2017 (Cindy, 5/12/2017) Michelle Johnson of Gillings confirms still active 4/12/2017. Jen Lai confirms still active 6/23/19., Project Lazarus is a program of Coastlands Ministries, Federal Tax ID 56-2087110, appears to be active (Patrick, 6/28/2022). Website is active, latest Form 990 2021. (Tiffany, 7/3/23). ""Dissolved"" on NC website, destruction filed 4/13/2011, registered on IRS website, EIN: 72-1154192, form 990 filed 2022, website active (John 5/19/24).",,,,,
Pro-Kay Supply Inc,,http://www.prokaysupply.com/,C Corporation,11/8/1988,Don Bame,Tara Johnson,,,5032 Atkinson Rd,Orrum,North Carolina,28369,Robeson,prokay@gmail.com,(910) 628-0882,"""Pro-Kay Supply, Inc. was born out of the effort to provide customers with the products they need in a timeframe that they, and we, could deal with. After having to order louvers at least eight weeks in advance, owner and operator Wilton Caulder, a licensed general contractor, decided to provide customers with a better experience. ""In 1984, Pro-Kay Supply, Inc. started manufacturing wooden louvers with a lead time of just three to ten days, beating out the competition in customer service. Over the years we have expanded our product line to include wood and PVC louvers, shutters, access doors, columns, cupolas, dormers, eave brackets, screen doors, louvered PVC patio and pool entrances and door inserts. We can also make other specialty items, just call us and let us know what you need."" (website, Jan 2024)","NC Secretary of State website status is ""Current-Active;"" NC Annual Report Filed on 3/6/23; Active website - Jenny (1/3/2024) NC SoS status ""Current- Active"", AR filed 5/9/24, website is inactive (John 5/19/24).",,,,,
ProtoDia Inc,,,C Corporation,3/26/2012,Albert Baldwin,Carol A Otey,Albert Baldwin,Carol A Otey,519 Dogwood Drive,Chapel Hill,North Carolina,27516-2807,Orange,,(919) 360-6076,ProtoDia is a cancer diagnostic startup.,incorporated NC; annual report NC 3/10/2016,"NC Sec of State ""dissolved"" status on 6/24/19. Jen Lai 7/14/19. No activity on this company. Believe it is fully dissolved. I will deactivate. JL (7/3/20).","Liquidation, close down",6/24/2019,,
Pryon,,https://pryon.com/,C Corporation,10/20/2017,Igor Jablokov,,,,4441 Six Forks Road Suite 106-136,Raleigh,North Carolina,27609,Wake,info@pryon.com,,"""Pryon is an AI company that delivers augmented intelligence for the enterprise. Driven by the inventors of core natural language technologies, the company is developing a platform that connects employees to digital transformation, extending their ability to find and use knowledge, drive workflows, and make better decisions from wherever they are. Pryon streamlines AI adoption to dramatically reduce complexity, costs, and deployment times."" (website, 6/13/2019)",,,,,,
PT Wired Inc,,https://www.ptwired.com/,C Corporation,7/12/2016,Vikram Sethuraman,,,,"5710 W Gate City Blvd,Ste K #27",Greensboro,North Carolina,27407,Durham,admin@ptwired.com,(919) 323-8627,"""PT Wired is a physical therapy SaaS product that enables physical therapists to provide better service to patients while saving time in the process. Patients receive a mobile app with videos, notes, and reminders to guide them through their routine. Physical therapists are able to track patient progress/outcomes and save time with documentation."" (LinkedIn, 2/4/2018)","registration active, 2022 AR filed (Patrick, 6/28/2022)","NC Annual report filed 3/13/19. JL 6/23/19. AR 2/26/21- JL. Website is still active, NC SoS status ""Current - active,"" latest annual report 3/10/2023. Address and contact information are correct. (Mackenzie, 6/16/23) NC SoS status ""Current- Active"", AR filed 3/21/24, website active (John 5/19/24).",,,,
Pulvinar Neuro LLC,,http://www.pulvinarneuro.com/,,4/15/2016,Flavio Frohlich,Leah Townsend,Flavio Frohlich,,"201 W Main St., Suite 303",Durham,North Carolina,27701,Durham,admin@pulvinarneuro.com,9199601348,"""?Our mission is to enable high-quality non-invasive brain stimulation research."" (website, 2/5/2018)","registration active, 2022 AR filed (Patrick, 6/29/2022), incorporated DE, also NC acquired by operating as an independent subsidiary. confirmed that we should still consider ACTIVE per OTC/Kelly (Cindy, 4/9/2024)","NC Annual Report 4/8/19. JL 6/23/19. NC annual report 3/12/20. (JL 7/3/20). AR 4/5/21- JL. Website is still active, NC SoS status ""Current - active,"" latest annual report 3/30/2023. Address is correct, phone number updated. (Mackenzie, 6/16/23) NC SoS status ""Current- Active"", AR filed 4/11/24, website active (John 5/19/24). Per website: ""Pulvinar Neuro was acquired in 2022 and today is a wholly owned subsidiary of Electromedical Products International, Inc. (EPI).""",Acquisition,3/17/2022,,
Pup'uccino Dog Rescue Cafe LLC,,http://www.pupuccino.com/,LLC - Limited Liability,8/4/2014,Alicia Holk,,,,173 1/2 E Franklin,Chapel Hill,North Carolina,27514,Orange,,(910) 986-5026,Pup'uccino is a dog-friendly coffee cafe concept that provides space for dogs on and off leash and is active in local dog rescue efforts.,incorporated NC; ADM Dissolution by NC - no annual reports filed after creation,,"Liquidation, close down",1/14/2016,,
Pupusas for Education,Pupusas for Education; Higher Ed + Undocumented Students,http://www.pupusas4education.com,501c,12/1/2016,Tiffany M Turner,Cecilia Polanco,,,1114 N Driver St,Durham,North Carolina,27701-3520,Durham,info@pupusas4education.org,(919) 685-7100,"""Pupusas for Education is a non-profit committed to supporting undocumented students pursuing higher education. Through last dollar scholarships, we hope to support undocumented students through the financial barriers that exist which impede them from attending college. We hope to address the opportunity gap undocumented students may experience through providing mentorship and guidance so they can successfully complete college."" (website, 6/2/2017)","Registered in NC as non-profit Pupusas for Education EIN 81-3347437 verified active 6/10/2021 (Cindy), registration active (Patrick, 6/29/2022)","Website is still active, NC SoS status ""Current - active,"" latest Form 990 2021. Address is correct. (Mackenzie, 6/16/23) ""Current- Active"" on NC SoS website, EIN: 81-3347437, form 990-N filed 2022, website active, email updated (John 5/19/24).",,,,
Purcado Incorporated,incorporated NC; annual report filed NC 4/17/2017,http://purcado.com/,C Corporation,11/13/2015,,W Lowry Caudill,,,"6104 Fayetteville Road, Suite 105",Durham,North Carolina,27713,Durham,support@purcado.com,,"""HELP SHOPPERS FIND THE BEST SHOES, AT THE BEST PRICES, FROM THE BEST RETAILERS ON THE INTERNET. ""We allow users to shop across multiple retail sites with the ease of a single search, so shoppers will no longer need to spend hours scouring the Internet for that perfect pair of shoes to wear on the first day of their new job or on that special date. Purcado is poised to become the starting place for shoe shoppers on the Internet. ""Our shopping experience is superior to traditional retail shopping sites because we focus on two things: quality by curating the shoes and sites that are presented to our shoppers, and the shopping experience itself. Our selection process for our retail partners takes into account a retailer?s selection and quality, as well as their checkout experience, customer service and return policy. Not only do we want shoppers to have an amazing shopping experience on Purcado, we also want to ensure that our shoppers have a high quality experience all the way through to receiving their shoes.""",,Purcado posted their permanent closure announcement on their own website on 6/19/19. JL 7/12/19. Website is not active. Dissolved. I'll deactivate. (JL 7/3/20).,"Liquidation, close down",9/18/2019,,
Push Play Sing!,Push Play Sing LLC,https://www.pushplaysing.com/,501c,9/1/2015,Max Puhala,Berk Ozturk,,,6316 River Hills Dr,Greensboro,North Carolina,27410,Guilford,info@pushplaysing.com,(336) 707-7356,Push Play Sing! helps individuals with developmental and intellectual disabilities express themselves through music enrichment workshops.,"hibernating due to COVID impacts, per Launch spring survey 2021 (Cindy, 3/1/2021), website unavailable but registration active, changed to 501c on 10/6/2021 (Patrick, 6/29/2022) updating to inactive - no website available or other activity found for several years - Cindy, 6/5/2024","Annual report 3/23/19. JL 6/23/1. Annual report 4/14/20 (JL 7/3/20). AR 4/8/21- JL. Website inactive, NC SoS status as ""Current - active,"" Form 990 unavailable, address is correct. (Mackenzie, 6/16/23) ""Current-Active"" on NC SoS website, registered on IRS website, form 990-N 2023, EIN: 30-1313654, website inactive (John 5/19/24).",,,,
Qatch Technologies LLC,,https://qatchtech.com/,LLC - Limited Liability,7/20/2016,Zehra Parlak,,,,701 W Main St,Durham,North Carolina,27701,Durham,,(678) 908-3112,"""QATCH Technologies is founded upon a technology developed at Duke University by Dr. Stefan Zauscher, who is Sternberg Family Professor of Mechanical Engineering & Materials Science at Duke University, and Dr. Zehra Parlak, a postdoctoral researcher at Zauscher Lab. Upon realizing the potential of the invention, Dr. Parlak founded QATCH Technologies in 2016. ""QATCH Technologies is developing a pre-screening tool for biopharmaceutical drug discovery. Our proprietary technology can determine if a formulation is injectable or if there will be viscosity related manufacturing problem at very early stages."" (website Jan 2024)","NC Secretary of State website status is ""Current-Active;"" NC Annual Report Filed on 1/3/24; Active website - Jenny (1/3/2024) Cindy 1/29/2024: need to research/backfill all funding info, including federal grants and NCBC - see their news section of website NC Secretary of State website status is ""Current-Active"", NC Annual Report 1/3/24, active website, 4-24-24 - John.",,,,,
Q Squared Solutions LLC,"Q2 Lab Solutions, Q2 Solutions LLC",https://www.q2labsolutions.com/,LLC - Limited Liability,4/27/2020,Dennis Gillings,,,,2400 Ellis Road,Durham,North Carolina,27703,Orange,contact@q2labsolutions.com,9194052248,"A joint venture of IQVIA (formerly QuintilesIMS) and Quest Diagnostics, Q2 Solutions combines the best of each parent organization?s clinical trials laboratory services capabilities to fulfill its mission of treating each sample as if a life depends on it.","registration active, 2022 AR filed (Patrick, 6/29/2022), incorporated DE","AR 4/14/21- JL. Website is active, NC SoS status ""Current - active,"" latest annual report 3/1/2023. Phone number is correct. (Mackenzie, 6/16/23) NC Secretary of State website status is ""Current-Active"", NC Annual Report 4/4/24, active website, 4-24-24 - John. phone updated.",,,,
Qualiber Inc,,http://www.qualiberinc.com/home,C Corporation,4/20/2010,Leaf Huang,Anil Goyal,Leaf Huang,,311 Pharmacy Ln 2301 Kerr Hall,Chapel Hill,North Carolina,27599,Orange,anil@qualiberinc.com,(919) 259-6871,"Qualiber is a nanomedicine company with an innovative drug-delivery technology platform to enable targeted delivery of siRNA, small-molecule therapeutic agents, and genes for the treatment of cancer and liver diseases.","incorporated NC 9/7/2012; annual report NC 11/12/2015 incorporated DE 4/20/2010 date of dissolution per NC Secretary of State paperwork (Cindy, 5/13/2019) Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.",,"Liquidation, close down",7/20/2017,,
